Date as of,Start Date,End Date,State,County name,FIPS County Code,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes,Footnote
12/22/21,1/1/20,12/18/21,AK,Aleutians East Borough,2013,Noncore,,15,Confidential
12/22/21,1/1/20,12/18/21,AK,Anchorage Municipality,2020,Medium metro,534,4825,
12/22/21,1/1/20,12/18/21,AK,Bethel Census Area,2050,Noncore,28,234,
12/22/21,1/1/20,12/18/21,AK,Denali Borough,2068,Noncore,,12,Confidential
12/22/21,1/1/20,12/18/21,AK,Dillingham Census Area,2070,Noncore,,59,Confidential
12/22/21,1/1/20,12/18/21,AK,Fairbanks North Star Borough,2090,Small metro,141,1150,
12/22/21,1/1/20,12/18/21,AK,Hoonah-Angoon Census Area,2105,Noncore,,29,Confidential
12/22/21,1/1/20,12/18/21,AK,Juneau City and Borough,2110,Micropolitan,10,345,
12/22/21,1/1/20,12/18/21,AK,Kenai Peninsula Borough,2122,Noncore,59,801,
12/22/21,1/1/20,12/18/21,AK,Ketchikan Gateway Borough,2130,Micropolitan,10,192,
12/22/21,1/1/20,12/18/21,AK,Kodiak Island Borough,2150,Noncore,,141,Confidential
12/22/21,1/1/20,12/18/21,AK,Matanuska-Susitna Borough,2170,Medium metro,164,1391,
12/22/21,1/1/20,12/18/21,AK,Nome Census Area,2180,Noncore,,122,Confidential
12/22/21,1/1/20,12/18/21,AK,North Slope Borough,2185,Noncore,,73,Confidential
12/22/21,1/1/20,12/18/21,AK,Northwest Arctic Borough,2188,Noncore,,87,Confidential
12/22/21,1/1/20,12/18/21,AK,Prince of Wales-Hyder Census Area,2198,Noncore,,88,Confidential
12/22/21,1/1/20,12/18/21,AK,Sitka City and Borough,2220,Noncore,,117,Confidential
12/22/21,1/1/20,12/18/21,AK,Southeast Fairbanks Census Area,2240,Noncore,,71,Confidential
12/22/21,1/1/20,12/18/21,AK,Valdez-Cordova Census Area,2261,Noncore,,95,Confidential
12/22/21,1/1/20,12/18/21,AK,Wade Hampton Census Area,2270,Noncore,,87,Confidential
12/22/21,1/1/20,12/18/21,AL,Autauga County,1001,Medium metro,133,1046,
12/22/21,1/1/20,12/18/21,AL,Baldwin County,1003,Small metro,522,4835,
12/22/21,1/1/20,12/18/21,AL,Barbour County,1005,Noncore,60,549,
12/22/21,1/1/20,12/18/21,AL,Bibb County,1007,Large fringe metro,41,392,
12/22/21,1/1/20,12/18/21,AL,Blount County,1009,Large fringe metro,69,1005,
12/22/21,1/1/20,12/18/21,AL,Bullock County,1011,Noncore,,198,Confidential
12/22/21,1/1/20,12/18/21,AL,Butler County,1013,Noncore,62,492,
12/22/21,1/1/20,12/18/21,AL,Calhoun County,1015,Small metro,499,3401,
12/22/21,1/1/20,12/18/21,AL,Chambers County,1017,Micropolitan,45,724,
12/22/21,1/1/20,12/18/21,AL,Cherokee County,1019,Noncore,26,564,
12/22/21,1/1/20,12/18/21,AL,Chilton County,1021,Large fringe metro,55,812,
12/22/21,1/1/20,12/18/21,AL,Choctaw County,1023,Noncore,18,243,
12/22/21,1/1/20,12/18/21,AL,Clarke County,1025,Noncore,25,563,
12/22/21,1/1/20,12/18/21,AL,Clay County,1027,Noncore,42,381,
12/22/21,1/1/20,12/18/21,AL,Cleburne County,1029,Noncore,22,293,
12/22/21,1/1/20,12/18/21,AL,Coffee County,1031,Micropolitan,158,1115,
12/22/21,1/1/20,12/18/21,AL,Colbert County,1033,Small metro,250,1502,
12/22/21,1/1/20,12/18/21,AL,Conecuh County,1035,Noncore,28,272,
12/22/21,1/1/20,12/18/21,AL,Coosa County,1037,Micropolitan,,171,Confidential
12/22/21,1/1/20,12/18/21,AL,Covington County,1039,Noncore,196,1209,
12/22/21,1/1/20,12/18/21,AL,Crenshaw County,1041,Noncore,41,369,
12/22/21,1/1/20,12/18/21,AL,Cullman County,1043,Micropolitan,321,2364,
12/22/21,1/1/20,12/18/21,AL,Dale County,1045,Micropolitan,108,943,
12/22/21,1/1/20,12/18/21,AL,Dallas County,1047,Micropolitan,160,1057,
12/22/21,1/1/20,12/18/21,AL,DeKalb County,1049,Noncore,166,1547,
12/22/21,1/1/20,12/18/21,AL,Elmore County,1051,Medium metro,75,1369,
