US_County_Population
US_County_Population,,,,,,,,
SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,POPESTIMATE042020,POPESTIMATE072020
40,South,6,1,0,Alabama,Alabama,4920706,4921532
50,South,6,1,1,Alabama,Autauga County,56130,56145
50,South,6,1,3,Alabama,Baldwin County,227989,229287
50,South,6,1,5,Alabama,Barbour County,24652,24589
50,South,6,1,7,Alabama,Bibb County,22199,22136
50,South,6,1,9,Alabama,Blount County,57932,57879
50,South,6,1,11,Alabama,Bullock County,10050,9976
50,South,6,1,13,Alabama,Butler County,19525,19504
50,South,6,1,15,Alabama,Calhoun County,113704,113469
50,South,6,1,17,Alabama,Chambers County,32989,32865
50,South,6,1,19,Alabama,Cherokee County,26319,26294
50,South,6,1,21,Alabama,Chilton County,44417,44397
50,South,6,1,23,Alabama,Choctaw County,12469,12418
50,South,6,1,25,Alabama,Clarke County,23398,23291
50,South,6,1,27,Alabama,Clay County,13152,13112
50,South,6,1,29,Alabama,Cleburne County,14976,14967
50,South,6,1,31,Alabama,Coffee County,53160,53230
50,South,6,1,33,Alabama,Colbert County,55402,55411
50,South,6,1,35,Alabama,Conecuh County,11924,11851
50,South,6,1,37,Alabama,Coosa County,10681,10650
50,South,6,1,39,Alabama,Covington County,36993,36930
50,South,6,1,41,Alabama,Crenshaw County,13713,13681
50,South,6,1,43,Alabama,Cullman County,84344,84515
50,South,6,1,45,Alabama,Dale County,49076,48959
50,South,6,1,47,Alabama,Dallas County,36424,36098
50,South,6,1,49,Alabama,DeKalb County,71664,71658
50,South,6,1,51,Alabama,Elmore County,82048,82158
50,South,6,1,53,Alabama,Escambia County,36361,36281
50,South,6,1,55,Alabama,Etowah County,102482,102371
50,South,6,1,57,Alabama,Fayette County,16246,16241
50,South,6,1,59,Alabama,Franklin County,31541,31507
50,South,6,1,61,Alabama,Geneva County,26402,26411
50,South,6,1,63,Alabama,Greene County,8034,7990
50,South,6,1,65,Alabama,Hale County,14673,14670
50,South,6,1,67,Alabama,Henry County,17203,17223
50,South,6,1,69,Alabama,Houston County,106542,106580
50,South,6,1,71,Alabama,Jackson County,51642,51582
50,South,6,1,73,Alabama,Jefferson County,656529,655342
50,South,6,1,75,Alabama,Lamar County,13790,13764
50,South,6,1,77,Alabama,Lauderdale County,93331,93368
50,South,6,1,79,Alabama,Lawrence County,32863,32857
50,South,6,1,81,Alabama,Lee County,166460,166831
50,South,6,1,83,Alabama,Limestone County,101485,102228
50,South,6,1,85,Alabama,Lowndes County,9653,9641
50,South,6,1,87,Alabama,Macon County,17942,17895
50,South,6,1,89,Alabama,Madison County,377894,379453
50,South,6,1,91,Alabama,Marengo County,18793,18733
50,South,6,1,93,Alabama,Marion County,29749,29703
50,South,6,1,95,Alabama,Marshall County,96951,96990
50,South,6,1,97,Alabama,Mobile County,413119,412716
50,South,6,1,99,Alabama,Monroe County,20520,20459
50,South,6,1,101,Alabama,Montgomery County,225131,224639
50,South,6,1,103,Alabama,Morgan County,119862,119883
50,South,6,1,105,Alabama,Perry County,8754,8687
50,South,6,1,107,Alabama,Pickens County,19821,19793
50,South,6,1,109,Alabama,Pike County,32976,32966
50,South,6,1,111,Alabama,Randolph County,22882,22920
50,South,6,1,113,Alabama,Russell County,58196,58237
50,South,6,1,115,Alabama,St. Clair County,90488,90739
50,South,6,1,117,Alabama,Shelby County,220664,221428
50,South,6,1,119,Alabama,Sumter County,12263,12225
50,South,6,1,121,Alabama,Talladega County,80075,79985
50,South,6,1,123,Alabama,Tallapoosa County,40192,40133
50,South,6,1,125,Alabama,Tuscaloosa County,210736,210758
50,South,6,1,127,Alabama,Walker County,63277,63143
50,South,6,1,129,Alabama,Washington County,16050,15976
50,South,6,1,131,Alabama,Wilcox County,10252,10206
50,South,6,1,133,Alabama,Winston County,23552,23508
40,West,9,2,0,Alaska,Alaska,732074,731158
50,West,9,2,13,Alaska,Aleutians East Borough,3419,3401
50,West,9,2,16,Alaska,Aleutians West Census Area,5719,5680
50,West,9,2,20,Alaska,Anchorage Municipality,287706,287095
50,West,9,2,50,Alaska,Bethel Census Area,18487,18437
50,West,9,2,60,Alaska,Bristol Bay Borough,823,788
50,West,9,2,63,Alaska,Chugach Census Area,6464,6427
50,West,9,2,66,Alaska,Copper River Census Area,2921,2919
50,West,9,2,68,Alaska,Denali Borough,2099,2081
50,West,9,2,70,Alaska,Dillingham Census Area,4867,4833
50,West,9,2,90,Alaska,Fairbanks North Star Borough,96053,95651
50,West,9,2,100,Alaska,Haines Borough,2589,2614
50,West,9,2,105,Alaska,Hoonah-Angoon Census Area,2157,2141
50,West,9,2,110,Alaska,Juneau City and Borough,31924,31849
50,West,9,2,122,Alaska,Kenai Peninsula Borough,59300,59414
50,West,9,2,130,Alaska,Ketchikan Gateway Borough,13795,13747
